project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 20-269,/records-research/project-search/og-20-269-0,HPA 20-500,"1529 Wisconsin Avenue, NW
United States",Commercial,Signage reading City Sliders - existing alterations without review,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,Returned without action.  Permit application for signs has been inactive for an extended period of time.  File permit submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 20-270,/records-research/project-search/og-20-270,HPA 20-501,"1529 Wisconsin Avenue, NW
United States",Commercial,Window replacement - existing alterations without review,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,Returned without action.  Permit application for window replacements has been inactive for an extended period of time.  File permit submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 21-048,/records-research/project-search/og-21-048-1,HPA 21-089,"2616-2620 P Street, NW
United States",Commercial,One-story addition in front courtyard of existing building,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,Returned without action. Concept application for addition has been inactive for an extended period of time. File new concept application at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 21-195,/records-research/project-search/og-21-195-0,HPA 21-350,"1607 28th Street, NW
United States",Residence,Second floor addition at rear,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,Returned without action. Concept application for rear addition was withdrawn at the written request of the applicant on 25 June 2021.,,,,,,,
OG 21-205,/records-research/project-search/og-21-205,HPA 21-384,"2505 P Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,Returned without action.  Submission materials and a site visit on 15 June 2021 indicate proposed addition would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,,,,,,,
OG 21-206,/records-research/project-search/og-21-206,HPA 21-385,"1322 27th Street, NW
United States",Residence,Fence replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,Returned without action.  Submission materials and a site visit on 15 June 2021 indicate proposed fence replacement would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,,,,,,,
OG 21-214,/records-research/project-search/og-21-214,HPA 21-393,"1517 Wisconsin Avenue, NW
United States",Commercial,Rear addition and renovation,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,Returned without action. Submission materials and a site visit on 18 June 2021 indicate proposed rear addition would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.,,,,,,,
OG 21-229,/records-research/project-search/og-21-229,HPA 21-408,"3064 Q Street, NW
United States",Residence,Fence replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,Returned without action.  Submission materials and a site visit on 15 June 2021 indicate proposed fence replacement would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,,,,,,,
TBD,/records-research/project-search/tbd-17,HPA TBD,"K Street from 27th Street to 30th Street, NW
United States",K Street below the Whitehurst Freeway Bridge,Georgetown Gateway Project,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42116,No action.  Concept application for Georgetown Gateway Project has been inactive for an extended period of time.,,D.C. Department of Transportation,,,,,
OG 21-190,/records-research/project-search/og-21-190,HPA 21-345,"3515 Prospect Street, NW
United States",Institution,Replace windows,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42114,Returned without action. The application for window replacement is a duplicate of application OG 21-184 / HPA 21-345.,,,,,,,
OG 20-160,/records-research/project-search/og-20-160-1,HPA 20-285,"3000 M Street NW
United States",Commercial,Construction of a eight story mixed use building,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42112,"Returned without action. Concept submission for a new eight story building has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 20-282,/records-research/project-search/og-20-282-0,HPA 20-513,"2900-2922 M Street, NW
United States",Mixed-use,Construct new five-story building with connections to existing structures on M Street,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42112,Returned without action. Concept submission for a new five story building addition to the existing structure has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 21-047,/records-research/project-search/og-21-047-0,HPA 21-088,"3401 Water Street, NW
United States",Two-story warehouse,Revisions to previously approved revised concept design,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42112,Returned without action. Concept submission for revisions to previously approved concept design has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 21-055,/records-research/project-search/og-21-055,HPA 21-110,"3419 Reservoir Road, NW
United States",Single-family residence,Replace vinyl windows,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42112,Returned without action. Permit submission for replacement windows has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 21-056,/records-research/project-search/og-21-056-0,HPA 21-111,"3238 P Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42112,Returned without action.  Concept submission for rear addition has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 21-079,/records-research/project-search/og-21-079,HPA 21-156,"1218 31st Street, NW
United States",Commercial,Rear addition,Revised concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42112,Returned without action.  Revised concept submission for addition has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 21-128,/records-research/project-search/og-21-128,HPA 21-237,"1611 29th Street, NW
United States",Residence,Masonry repairs,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42110,"Returned without action. Masonry repointing and roof repair of ten slate roof shingles, per supplemental materials received 22 March 2021 is a minor repair. Refer to Historic Preservation Review Board.",,,,,,,
OG 21-139,/records-research/project-search/og-21-139,HPA 21-248,"3512-3514 P Street, NW
United States",Residence,One-story rear addition; rear and side elevation alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42110,"Returned without action. The proposed alterations, per materials received 12 March 2021 are not visible from public thoroughfare. Refer to Historic Preservation Review Board.",,,,,,,
OG 20-114,/records-research/project-search/og-20-114-0,HPA 20-203,"3123 Dumbarton Street, NW
United States",Residence,Modify front porch,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42108,Returned without action.  Concept application for modification of front porch has been inactive for an extended period of time.  File new application with DCRA for review by the Commission.,,,,,,,
OG 21-105,/records-research/project-search/og-21-105,HPA 21-199,"3126 O Street, NW
United States",Residence,Alterations and repairs to brick garden wall,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42108,"Returned without action. The proposed repairs to the brick garden walls, per materials received 12 February 2021 are not visible from public thoroughfare. Refer to Historic Preservation Review Board.",,,,,,,
OG 21-083,/records-research/project-search/og-21-083,HPA 21-160,"2710 O Street, NW
United States",Residence,"New fencing, pool, site work",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42106,Returned without action.  Submitted materials received 15 January 2021 and a site visit on 25 January 2021 indicate that proposed rear site work will not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 21-091,/records-research/project-search/og-21-091,HPA 21-168,"2616 P Street, NW
United States",Commercial,One-story addition in front courtyard of existing building,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42106,Returned without action. Concept application is a duplicate of concept application OG 21-048 / HPA 21-089 and was withdrawn at the written request of the applicant on 26 January 2021. ,,,,,,,
OG 20-209,/records-research/project-search/og-20-209,HPA 20-378,"1659 Wisconsin Avenue, NW
United States",Commercial,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/42104,"Returned without action. Concept application for rear addition has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 20-267,/records-research/project-search/og-20-267-0,HPA 20-492,"1601 30th Street, NW
United States",Residence,Extension and renovation of existing rooftop deck,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41038,Returned without action.  Concept application to extend and renovate existing rooftop deck was withdrawn at the written request of the applicant on 14 October 2020.,,,,,,,
OG 21-013,/records-research/project-search/og-21-013,HPA 21-027,"3000 K Street, NW
United States",Commercial,Install dining tent,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41038,"Returned without action.  In accordance with the District of Columbia Mayor's Covid-19 emergency order that restricts indoor restaurant service, including seating layouts and occupancy, temporary tents may be erected to accommodate outdoor dining, PROVIDED all temporary tents are removed immediately upon expiration of the emergency order.  Please refer to Historic Preservation Review Board.",,,,,,,
OG 19-225,/records-research/project-search/og-19-225-1,HPA 19-428,"1218 31st Street, NW
United States",Commercial,Rear structure,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41036,"Returned without action. Concept application for new building behind existing historic building has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
","('/records-research/project-search/og-19-225-0', 'OG 19-225')",,,,,,
OG 20-110,/records-research/project-search/og-20-110-0,HPA 20-199,"3222 M Street, NW
United States",Commercial,Comprehensive sign plan,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41036,"Returned without action. Concept application for signage has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
","('/records-research/project-search/og-20-110', 'OG 20-110')",,,,,,
OG 20-271,/records-research/project-search/og-20-271,HPA 20-502,"1417 31st Street, NW
United States",Residence,Site work,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41036,"Returned without action. Materials received on 11 September 2020 and a site visit conducted on 15 September 2020 indicate proposed site work at rear would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 19-127,/records-research/project-search/og-19-127-1,HPA 19-255,"1436 Wisconsin Avenue, NW
United States",Commercial,Storefront alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action.  Concept application for storefront alterations has been inactive for an extended period of time.  File permit submission at DCRA with detailed and dimensioned drawings for review by the Commission. ,,,,,,,
OG 20-024,/records-research/project-search/og-20-024-1,HPA 20-032,"2900-2924 M Street, NW
United States",Commercial,Addition and renovation,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action. Concept application for redevelopment of properties with rear additions and alterations has been inactive for an extended period of time. File new application at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 20-079,/records-research/project-search/og-20-079-0,HPA 20-146,"1015 33rd Street, NW
United States",Multi-family residence,Replace butt glazed windows with new double pane units,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action. Permit application for replacement of butt-glazed windows with insulated units has been inactive for an extended period of time. File new application at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 20-119,/records-research/project-search/og-20-119,HPA 20-208,"3000 & 3050 K Street, NW
United States",Washington Harbor,Flood mitigation wall,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action. Permit application for a flood mitigation wall has been inactive for an extended period of time. File new application at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 20-121,/records-research/project-search/og-20-121-0,HPA 20-210,"3121 O Street, NW
United States",Residence,One-story conservatory addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action.  Concept application for one-story conservatory addition has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 20-128,/records-research/project-search/og-20-128,HPA 20-237,"3135 M Street, NW
United States",Commercial,New signs and paint exterior of building dark gray,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,"Returned without action. Permit application for signs has been inactive for an extended period of time. File new application at DCRA with detailed and dimensioned drawings.
",,,,,,,
OG 20-135,/records-research/project-search/og-20-135,HPA 20-255,"3320 M Street, NW
United States",Commercial,"New signage - ""Boffi"" and ""e DePadova""",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action.  Permit application for signage has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 20-189,/records-research/project-search/og-20-189,HPA 20-353,"3265 N Street NW
United States",Residence,Replace three windows ,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action. Concept application for replacement windows withdrawn at the written request of the applicant on 6 August 2020.,,,,,,,
OG 20-215,/records-research/project-search/og-20-215-0,HPA 20-384,"3343 - 3345 Prospect Street, NW
United States",Commercial,Signage - Greenheart Juice Shop,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action. Concept application for signs superseded by permit application OG 20-252 / HPA 20-446.,,,,,,,
OG 20-234,/records-research/project-search/og-20-234,HPA 20-428,"3023 Dent Place, NW
United States",Residence,"New garage door, replacement fence, and new flagstone pavers in rear yard",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action. Permit application for rear yard and garage alterations was withdrawn at the written request of the applicant on 21 August 2020.,,,,,,,
OG 20-242,/records-research/project-search/og-20-242,HPA 20-436,"1508 Dumbarton Rock Court, NW
United States",Residence,Replacement and relocation of vent cap,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action.  Submitted materials and a site visit on 17 August 2020 indicate that proposed shed alterations will not be visible from public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 20-249,/records-research/project-search/og-20-249,HPA 20-443,"3023 Q Street, NW
United States",Residence,Two-story rear addition; Alterations,Revised permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action.  Application for revisions to permit was withdrawn at the written request of the applicant.,,,,,,,
OG 20-250,/records-research/project-search/og-20-250,HPA 20-442,"2907 Olive Street, NW
United States",Residence,Install French doors on rear elevation at basement,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action. Concept application materials received 14 August 2020 indicate the proposed basement doors on the rear elevation will not be visible from public thoroughfare. Refer to Historic Preservation Review Board.,,,,,,,
OG 20-255,/records-research/project-search/og-20-255,HPA 20-449,"2710 O Street, NW
United States",Residence,Roof replacement on rear brick shed,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action.  Submitted materials and a site visit on 17 August 2020 indicate that proposed shed alterations will not be visible from public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 20-263,/records-research/project-search/og-20-263,HPA 20-457,"3024 Q Street, NW
United States",Residence,New canopy at rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41034,Returned without action.  Permit application for new canopy at rear porch was withdrawn at the written request of the applicant.,,,,,,,
OG 20-100,/records-research/project-search/og-20-100,HPA 20-169,"2710 N Street, NW
United States",Residence,Replace windows,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41032,"Returned without action. Permit application for replacement windows has been inactive for an extended period of time. File new application at DCRA with detailed and dimensioned drawings that conform to the Old Georgetown Board Window Policy.
",,,,,,,
OG 20-123,/records-research/project-search/og-20-123,HPA 20-216,"3040 R Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41032,"Returned without action. Application for replacement windows has been inactive for an extended period of time. File new application at DCRA with detailed and dimensioned drawings that conform to the Old Georgetown Board Window Policy.
",,,,,,,
OG 20-166,/records-research/project-search/og-20-166-0,HPA 20-294,"2804 N Street NW
United States",Residence,Fenestration alteration on rear elevation,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41032,"Returned without action. The concept application for fenestration alterations on the rear elevation was withdrawn at the written request of the applicant on 15 June 2020.
",,,,,,,
OG 20-188,/records-research/project-search/og-20-188,HPA 20-350,"3042 Q Street, NW
United States",Residence,Replace three doors on ground floor of rear elevation,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41032,"Returned without action. Per materials received 12 June 2020 and site visit completed on 19 June 2020, the proposed door replacement on the ground floor of the rear elevation will not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 19-281,/records-research/project-search/og-19-281-0,HPA 19-580,"3279 1/2 M Street, NW
United States",Commercial,Awning and Sign Plan,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41030,Returned without action. Concept application for sign plan has been inactive for an extended period of time.,,,,,,,
OG 20-016,/records-research/project-search/og-20-016,HPA 20-024,"3255 O Street, NW
United States",Residence,Rear addition and alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41030,Returned without action. A site visit completed on 22 May 2020 and materials received 26 May 2020 indicate the proposed rear first floor addition will not be visible from public thoroughfare. Refer to Historic Preservation Board.,,,,,,,
OG 20-159,/records-research/project-search/og-20-159,HPA 20-284,"1080 Wisconsin Avenue, NW
United States",Commercial,Roof deck replacement and repair,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41028,Returned without action.  A site visit completed on 13 March 2020 and drawings submitted on 17 April 2020 indicate that the proposed work shall be limited to the floor of the balcony and will not be visible from a public right of way.  Refer to Historic Preservation Review Board.,,,,,,,
OG 20-164,/records-research/project-search/og-20-164,HPA 20-292,"3800 Reservoir Road, NW
United States",Georgetown University - Leavey Center,Antenna replacement for Verizon on Leavey Center,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41028,Returned without action.  Submitted materials and a site visit on 17 April 2020 indicate that proposed replacement antennas for Verizon mounted to penthouse wall on the roof of the Leavey Center will not be visible from public thoroughfare.  Refer to the Historic Preservation Review Board.,,,,,,,
OG 19-279,/records-research/project-search/og-19-279,HPA 19-568,"2801 M Street, NW
United States",Commercial,Alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41026,Returned without action. Permit application for alterations has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 20-021,/records-research/project-search/og-20-021,HPA 20-029,"1033 31st Street, NW
United States",Commercial,Signage for Miramar Restaurant,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41026,Returned without action. Permit application for signage has been inactive for an extended period. Note that illegal signage was installed without review by OGB or DCRA after submission of this application. File new submission at DCRA with detailed and dimensioned drawings to correct illegal work.,,,,,,,
OG 20-028,/records-research/project-search/og-20-028,HPA 20-048,"3426 O Street, NW
United States",Residence,Replacement of front door,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41026,Returned without action. Permit application for replacement door has been inactive for an extended period of time. File new application at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 20-137,/records-research/project-search/og-20-137,HPA 20-258,"3251 Prospect Street, NW
United States",Mixed-use,Fenestration alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41026,Returned without action. Submission materials and a site visit on 13 March 2020 indicate proposed fenestration alterations would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.,,,,,,,
OG 19-280,/records-research/project-search/og-19-280-0,HPA 19-571,"2500 Q Street, NW
United States",Multi-family residence,Rooftop antennas,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41024,Returned without action. Concept application for rooftop antennas was withdrawn at the written request of the applicant on 19 February 2020.,,,,,,,
OG 20-036,/records-research/project-search/og-20-036,HPA 20-071,"1622 34th Street, NW
United States",Residence,Rear second story addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41022,"Returned without action. Concept application OG 20-036 / HPA 20-071 for a rear addition superseded by OG 20-075 / HPA 20-142.
",,,,"('/records-research/project-search/og-20-075', 'OG 20-075')",,,
OG 20-044,/records-research/project-search/og-20-044,HPA 20-079,"3016 O Street, NW
United States",Residence,Upgrade and relocation of Pepco electric meter,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41022,Returned without action. Permit application for a utility meter was withdrawn at the written request of the applicant on 1 January 2020.,,,,,,,
OG 20-066,/records-research/project-search/og-20-066,HPA 20-120,"3014 Cambridge Place, NW
United States",Residence,Rooftop solar panels,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41022,"Returned without action. Submitted materials for permit application for rooftop solar panels are insufficient for review. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 20-080,/records-research/project-search/og-20-080,HPA 20-147,"1224 30th Street, NW
United States",Residence,"Replace rear one story addition, landscape modifications, replace select windows, fence repairs",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41022,"Returned without action. Concept application for alterations and an addition was withdrawn at the written request of the applicant on 27 January 2020.
",,,,,,,
OG 20-092,/records-research/project-search/og-20-092,HPA 20-158,"1521 31st Street, NW
United States",Residence,New pergola and fountain,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/41022,"Returned without action. Submission materials and a site visit on 17 January 2020 indicate proposed pergola and fountain at rear yard would not be visible from a public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,"('/records-research/project-search/og-20-092-0', 'OG 20-092')",,
OG 19-140,/records-research/project-search/og-19-140-0,HPA 19-287,"3313 N Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30353,"Returned without action. Concept application for rear addition has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 20-010,/records-research/project-search/og-20-010-0,HPA 20-017,"3209 O Street, NW
United States",Commercial,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30353,Returned without action. Concept application OG 20-010 / HPA 20-017 for storefront alterations and a mansard roof addition superseded by OG 20-037 / HPA 20-072.,,,,,,,
OG 19-206,/records-research/project-search/og-19-206-0,HPA 19-401,"3328 Prospect Street, NW
United States",Residence,Solar panels,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30351,Returned without action.  Permit submission for solar panels has been inactive for an extended period of time.  File new application at DCRA with detailed and dimensioned drawings for review by the Commission. ,,,,,,,
OG 19-229,/records-research/project-search/og-19-229,HPA 19-432,"3251 Prospect Street, NW
United States",Mixed-use,New deck at second-floor front elevation for Cafe Milano,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30351,Returned without action.  Concept application for deck on roof of single-story enclosed cafe was withdrawn at the written request of the applicant on 22 October 2019.,,,,,,,
OG 19-260,/records-research/project-search/og-19-260-1,HPA 19-521,"1614 34th Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30351,Returned without action.  Concept application for rear addition was withdrawn at the written request of the applicant on 21 October 2019.,,,,,,,
OG 19-284,/records-research/project-search/og-19-284,HPA 19-583,"1512 34th Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30351,"Return without action. Concept application OG 19-284 superseded by OG 20-026 / HPA 20-034.
",,,,,,,
OG 19-129,/records-research/project-search/og-19-129,HPA 19-257,"3203 R Street, NW
United States",Residence,Window and door replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30349,Returned without action. Permit application for window and door replacement has been inactive for an extended period of time. File new application at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 19-209,/records-research/project-search/og-19-209,HPA 19-408,"3240 Q Street, NW
United States",Residence,"Retaining wall, parking spot",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30349,Return without action. Permit application OG 19-209 superseded by OG 19-291.,,,,"('/records-research/project-search/og-19-291', 'OG 19-291')",,,
OG 19-266,/records-research/project-search/og-19-266,HPA 19-528,"1431 33rd Street, NW
United States",Residence,"Window replacement, modifications to rear fenestration, new light fixture, replace gate",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30349,,,,,,,,
OG 19-286,/records-research/project-search/og-19-286,HPA 19-585,"3111 K Street, NW
United States",Commercial,"New signs - AMC Theater, Dolby Cinema, IMAX",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30349,Return without action. Permit application for signs was withdrawn at the request of the application on 16 September 2019.,,,,,,,
OG 19-287,/records-research/project-search/og-19-287,HPA 19-586,"1065 31st Street, NW
United States",Commercial,New shipping containers in rear yard,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30349,Returned without action. The permit submission was withdrawn by the applicant via e-mail on 23 September 2019.,,,,,,,
OG 19-295,/records-research/project-search/og-19-295,HPA 19-594,"3405 Prospect Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30349,Returned without action. Concept application for rear addition was withdrawn by the applicant on 13 September 2019.,,,,,,,
OG 19-053,/records-research/project-search/og-19-053-0,HPA 19-113,"3133 Dumbarton Street, NW
United States",Dumbarton United Methodist Church,Site work,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,Returned without action.  Concept application for site work has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 19-079,/records-research/project-search/og-19-079-0,HPA 19-182,"1618 Wisconsin Avenue, NW
United States",Commercial,Replace five windows in second floor apartment,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,Returned without action. Concept application for window replacement has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings. ,,,,,,,
OG 19-085,/records-research/project-search/og-19-085-0,HPA 19-190,"2900 K Street, NW
United States",House of Sweden,Rooftop canopy addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,Returned without action. Concept application for a rooftop canopy addition has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings. ,,,,,,,
OG 19-118,/records-research/project-search/og-19-118-0,HPA 19-246,"3700 O Street, NW
United States",Georgetown University - Walsh Courtyard,New bicycle rack canopy,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,Returned without action. Concept application for bicycle canopies at Georgetown University has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 19-132,/records-research/project-search/og-19-132-0,HPA 19-264,"1638 32nd Street, NW
United States",Residence,Replace two second story windows on front elevation,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,Returned without action. Permit application for replacement windows on the front elevation has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 19-237,/records-research/project-search/og-19-237,HPA 19-443,"1225 37th Street, NW
United States",Residence,Replacement siding and new fence ,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,Returned without action. Concept application for replacement siding and fence in public right-of-way is a duplicate of the concept submission OG 19-180 (HPA 19-356)  that is currently on hold at the request of the applicant. Applicant should file revised concept submission at CFA with detailed and dimensioned drawings under OG 19-180 (HPA 19-356).,,,,,,,
OG 19-246,/records-research/project-search/og-19-246,HPA 19-486,"1414 34th Street, NW
United States",Residence,Replace rear doors,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,Returned without action.  Submission materials and a site visit on 20 August 2019 indicate proposed rear window and deck alterations would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,,,,,,,
OG 19-249,/records-research/project-search/og-19-249,HPA 19-494,"3217 P Street, NW
United States",Commercial,Signage for Chase,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,"Returned without action.  Permit application withdrawn at the written request of the applicant on 29 August 2019.  Project was previously approved under OG 19-221, HPA 19-424, and final permits should match those associated CFA-stamped drawings.",,,,,,,
