project_number,project_link,hpa_number,location,property,description,review_type,recommendation,meeting_link,previous_review,cfa_action
OG 18-001,/records-research/project-search/og-18-001,HPA 18-001,"3403 M Street, NW
United States",Commercial,Window Replacement on Front Elevation,Permit,"Submitted materials are not sufficient for review. File new submission at DCRA with documentation of the existing conditions of the windows, details/cut sheets for the proposed replacement windows, and section drawing of the existing and proposed conditions in the projecting bays, for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/28907,"('/records-research/project-search/og-18-001-1', 'OG 18-001')",
OG 17-357,/records-research/project-search/og-17-357,HPA 17-619,"1608 Wisconsin Avenue, NW
United States",Commercial,"Sign - ""OKI Bowl""",Permit,Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/27501,,
OG 17-303,/records-research/project-search/og-17-303,HPA 17-550,"2805 M Street, NW
United States",Commercial,Sign - Bibibop - existing alterations without review,Permit,"The Commission of Fine Arts regrets the installation of the ""Bibibop"" sign and mounting box was completed prior to review or approval.  The submitted material is not sufficient for review and the sign and mounting box is not compatible with the historic district.  File new submission at DCRA with detailed and dimensioned drawings of proposed sign with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/27499,,
OG 17-107,/records-research/project-search/og-17-107,HPA 17-195,"3111 K Street, NW
United States",Mixed-use,"Sign - ""Colonial Parking"" - Existing Alterations without Review",Permit,"Submitted material is not sufficient for review, and the work that was completed not according to the approved drawings in April 2016 is not compatible with the building or the district. File new submission at DCRA with detailed and dimensioned drawings for alterations completed prior to review with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/27498,"('/records-research/project-search/og-16-160-0', 'OG 16-160')",
OG 17-208,/records-research/project-search/og-17-208,HPA 17-349,"2801 M Street, NW
United States",Commercial,"Temporary signs - ""Office Space for Lease"" - Existing Alterations without Review",Permit,Submitted material is not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/27498,,
OG 17-261,/records-research/project-search/og-17-261,HPA 17-456,"1338 Wisconsin Avenue, NW
United States",Commercial,Window Replacement at First Floor Bays,Permit,Submitted material is not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings with permit application for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/27498,,
OG 17-198,/records-research/project-search/og-17-198,HPA 17-393,"3149 O Street, NW
United States",Residence,Alterations,Concept,"Submitted materials are not sufficient for review.  File new submission at DCRA with all required dimensioned and notated drawings, including but not limited to site plan with neighboring properties, existing and proposed roof plans, and existing and proposed side and rear elevations for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/27496,,
OG 17-071,/records-research/project-search/og-17-071,HPA 17-131,"3139 N Street, NW
United States",Residence,Window Replacement - Existing alterations without review,Permit,"The Commission of Fine Arts regrets the installation of the replacement window was completed prior to review or permit.  The submitted material is not sufficient for review, and the apparent vinyl replacement window is not a compatible alteration with the historic district.  File new submission at DCRA with detailed drawing of window opening and information on proposed replacement window with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/27487,,
OG 16-274,/records-research/project-search/og-16-274-0,HPA 16-493,"3128 M Street, NW
United States",Commercial,Alterations to storefront - Francesca's,Permit,"The Commission regrets that sign panel was installed over architectural detailing on the facade, not conforming to previous recommendation (OG 15-140).  Recommend AGAINST issuance of permit for proposed alterations to storefront.  File new submission at DCRA of detailed drawings for a revised design for a hanging sign within the masonry opening, removal of sign panel, removal of skylights, and replacement of roof at storefront, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24921,"('/records-research/project-search/og-16-274', 'OG 16-274')",
OG 16-228,/records-research/project-search/og-16-228-0,HPA 16-409,"1819 35th Street, NW
United States",Hardy Middle School,Antennas for AT&T ,Concept,"The Commission regrets that pole-mounted antennas were installed prior to review or permit.  Recommend AGAINST concept design for proposed antennas mounted to historic chimney at Hardy Middle School which would not be compatible with the historic building, and recommend a location at another property.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24920,"('/records-research/project-search/og-16-228', 'OG 16-228')",
OG 16-360,/records-research/project-search/og-16-360,HPA 16-649,"3213 Volta Place, NW
United States",Residence,Window replacement,Permit,Submitted material is not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings with permit application for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24920,,
OG 16-386,/records-research/project-search/og-16-386,HPA 16-678,"3222 M Street, NW
United States",Commercial,Vinyl Applique - J. Crew - Existing alterations without review,Permit,The Commission of Fine Arts regrets the application of the vinyl adhesive to the wood storefront was completed prior to review or permit.  Covering the storefront with vinyl is not a compatible alteration within the historic district.  Remove vinyl covering no later than 31 October 2016.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24920,,
OG 16-307,/records-research/project-search/og-16-307,HPA 16-560,"3131 M Street, NW
United States",Commercial,Signs - Johnny Rockets - Existing alterations without review,Permit,"Submitted material is not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings for alterations completed prior to review or permit, including sign for ""Johnny Rockets"", menu boards, light fixtures, window signs, mural, and rooftop mechanical equipment, with permit application for review by the Commission.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24919,,
OG 16-240,/records-research/project-search/og-16-240-0,HPA 16-421,"1029 31st Street, NW
United States",Mixed-use,"Rooftop and rear additions, Demolition",Concept,"Recommend AGAINST concept design for proposed demolition, third floor addition, and rear addition that would occupy most of the lot, all of which would not be compatible with the character of the buildings on the row or the historic district.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24918,"('/records-research/project-search/og-16-240', 'OG 16-240')",
OG 16-165,/records-research/project-search/og-16-165-0,HPA 16-286,"2709 N Street, NW
United States",Multi-family residence,Fence and gate,Permit,Recommend AGAINST issuance of permit for proposed fence and gate.  Applicant failed to provide requested information.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24917,"('/records-research/project-search/og-16-165', 'OG 16-165')",
OG 16-218,/records-research/project-search/og-16-218,HPA 16-385,"1621 35th Street, NW
United States",Residence,Replacement windows,Concept,"Submitted material is not sufficient for review.  File new submission at DCRA of detailed and dimensioned drawings, and accurate photographs, with permit application for all-wood replacement windows for review by the Commission.  Clad-windows are not compatible with the historic district.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24917,,
OG 16-223,/records-research/project-search/og-16-223,HPA 16-399,"1132 29th Street, NW
United States",Commercial,Alterations,Permit,"Submitted material is not sufficient for review. File new submission at DCRA with accurate and dimensioned plans, elevations, and details drawings for all proposed alterations, with concept application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24917,,
OG 16-230,/records-research/project-search/og-16-230,HPA 16-411,"3338 Dent Place, NW
United States",Residence,Site work,Permit,"Submitted material is not sufficient for review. File new submission at DCRA with accurate and dimensioned site plan and detail drawings for retaining wall, stoop, and paved areas, with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24917,,
OG 16-236,/records-research/project-search/og-16-236-1,HPA 16-417,"3319-A Cady's Alley, NW
United States",Commercial,"Signs - Existing alterations without review, Banner - Ledbury",Permit,,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24917,,
OG 15-285,/records-research/project-search/og-15-285-2,HPA 15-531,"3301 N Street, NW
United States",Residence,"Rear addition, alterations - Existing alterations without review",Permit,"The Commission regrets fenestration and paneling alterations executed without review or a permit.  Recent alterations were not completed according to approved plans, see OG 13-290.

  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24913,"('/records-research/project-search/og-15-285-1', 'OG 15-285')",
OG 15-323,/records-research/project-search/og-15-323-1,HPA 15-599,"1423 28th Street, NW
United States",Residence,Roof replacement,Permit,"Recommend AGAINST issuance of permit for new kynar roof with details that are not compatible with historic gable frame residence or metal roofs in Georgetown historic district.  File new submission at DCRA with detailed and dimensioned drawings with permit application for review by the Commission. Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24913,"('/records-research/project-search/og-15-323-0', 'OG 15-323')",
OG 16-098,/records-research/project-search/og-16-098,HPA 16-167,"2804 P Street, NW
United States",Residence,Alterations at rear,Permit,"Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings, including railing elements, and comprehensive photographs, with permit application for review by the Commission.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/24913,"('/records-research/project-search/og-16-036', 'OG 16-036')",
OG 15-347,/records-research/project-search/og-15-347,HPA 15-625,"3225 Grace Street, NW, #207
United States",Multi-family residence,Replacement doors,Permit,"Submitted materials are not sufficient for review.  Note that vinyl windows/doors are not appropriate for the historic district.  File new submission at DCRA of detailed and dimensioned drawings, including window cut sheets, with permit application for review by the Commission.  See Submission Requirements for Replacement Window Proposals at www.cfa.gov.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23287,,
OG 16-013,/records-research/project-search/og-16-013,HPA 16-021,"3121 N Street, NW
United States",Residence,Reconstruct front porch,Permit,"Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings, with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23287,,
OG 16-036,/records-research/project-search/og-16-036,HPA 16-062,"2804 P Street, NW
United States",Residence,Alterations at rear - guardrail,Permit,"Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings, including railing elements, and comprehensive photographs, with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23287,,
OG 16-002,/records-research/project-search/og-16-002,HPA 16-008,"3215 Volta Place, NW
United States",Residence,Gas light,Permit,"Recommend AGAINST issuance of permit for a gas light fixture at the front entry. The installation of constantly-burning gas fueled lamps are ecologically irresponsible and historically questionable on most residential properties in the historic district.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23286,,
OG 16-007,/records-research/project-search/og-16-007,HPA 16-013,"3403 M Street, NW
United States",Commercial,Replacement windows,Permit,"Submitted materials are insufficient for review.  File new submission at DCRA of detailed and dimensioned drawings, including window cut sheets, with permit application for review by the Commission.  See the Submission Requirements for Replacement Window Proposals at www.cfa.gov.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23286,,
OG 15-327,/records-research/project-search/og-15-327,HPA 15-603,"1326 30th Street, NW
United States",Residence,Window sash replacement,Permit,"Submitted material is not sufficient for review. File new submission at DCRA of detailed and dimensioned drawings, including window cut sheets, with permit application for review by the Commission. See the submission requirements for replacement window proposals at www.cfa.gov. Note: Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23285,,
OG 15-328,/records-research/project-search/og-15-328,HPA 15-604,"3059 M Street, NW
United States",Commercial,Signs - Bluemercury,Permit,"Submitted material is not sufficient for review. File new submission at DCRA of construction drawings, including details and dimensions, with permit application for each sign for review by the Commission. Note: Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23285,,
OG 15-332,/records-research/project-search/og-15-332,HPA 15-609,"1412 28th Street, NW
United States",Residence,Replacement windows,Permit,"Submitted materials are not sufficient for review. File new submission at DCRA of detailed and dimensioned drawings, including existing and proposed plans and elevations, architectural details and cut-sheets for the windows, with permit application for review by the Commission. See the Submission Requirements for Replacement Window Proposals at www.cfa.gov. Note: Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23285,,
OG 15-339,/records-research/project-search/og-15-339,HPA 15-616,"3045 P Street, NW
United States",Residence,"Replacement windows, garage door, shutters - Existing alterations without review",Concept,"Submitted materials are not sufficient for review. The Commission regrets that the windows, shutters, garage door and light fixtures were replaced without review or permit. The replacement of the windows is not consistent with previous recommendation (see OG 13-221). These alterations are not appropriate to the character of the original property and the historic district. File new submission at DCRA of detailed and dimensioned drawings, including existing and proposed plans and elevations, architectural details and cut-sheets for the windows, shutters, garage door, and light fixtures with permit application for review by the Commission. See the Submission Requirements for Replacement Window Proposals at www.cfa.gov.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23285,,
OG 15-242,/records-research/project-search/og-15-242,HPA 15-452,"3109 M Street, NW
United States",Commercial,"Alterations, back-lit sign and blade sign - Steve Madden",Permit,"Submitted material is not sufficient for review. File new submission at DCRA including detailed and dimensioned drawings with permit application for all alterations and signs for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23284,,
OG 15-267,/records-research/project-search/og-15-267,HPA 15-481,"2712 Poplar Street, NW
United States",Residence,Replacement fence and gate,Permit,"Submitted material is not sufficient for review. File new submission at DCRA of detailed and dimensioned drawings including details for hardware for gate with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23284,,
OG 15-288,/records-research/project-search/og-15-288,HPA 15-536,"1241 30th Street
United States",Residence,Replacement roof,Permit,"Submitted material is not sufficient for review. File new submission at DCRA of detailed and dimensioned drawings, including roof plan, roofing details and material sample, with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23284,,
OG 15-291,/records-research/project-search/og-15-291,HPA 15-539,"3239 M Street, NW
United States",Commercial,Internally-illuminated sign and blade sign - Gant,Permit,"Submitted material is not sufficient for review. File new submission at DCRA of construction drawings, including details and dimensions, with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23284,,
OG 15-316,/records-research/project-search/og-15-316,HPA 15-566,"1724 34th Street, NW
United States",Residence,"Partial demolition, two-story rear addition – Existing alteration without review",Permit,"Submitted material is not sufficient for review. The Commission regrets that the work at rear was initiated prior to review or permit. File new submission at DCRA with complete and accurate drawings, including dimensioned site plans, floor plans and elevations, architectural details, sections and cut-sheets for windows and doors with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23284,"('/records-research/project-search/og-15-151', 'OG 15-151')",
OG 15-221,/records-research/project-search/og-15-221-0,HPA 15-420,"1035 31st Street, NW
United States",Commercial,"Alterations, replacement windows and door - Existing alterations without review",Permit,"Submitted material is not sufficient for review.  The Commission regrets that the windows have been removed and masonry work completed prior to review or permit.  File new submission at DCRA with construction drawings for all completed alterations and for the proposed handicapped lift, including site plan, floor plans, detailed and dimensioned drawings, architectural details, and cut-sheets for the replacement window, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23283,,
OG 15-223,/records-research/project-search/og-15-223-0,HPA 15-426,"2800 R Street, NW
United States",Residence,Replacement windows,Permit,"Submitted material is not sufficient for review.  The Commission regrets that the first and second floor windows have been replaced with aluminum-clad insulated windows, which are not appropriate to the historic district, and that a mechanical unit has been located on public space, prior to review or permit.  File new submission at DCRA with detailed and dimensioned drawings for all existing and proposed replacement windows, and for the relocation of the mechanical equipment onto private property in a location where it would not be visible from a public thoroughfare, with permit application for review by the Commission.  See Submission Requirements for Replacement Window Proposals at www.cfa.gov.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23283,,
OG 15-243,/records-research/project-search/og-15-243-0,HPA 15-453,"1627 35th Street, NW
United States",Residence,Retaining wall - Existing alteration without review,Permit,"Submitted material is not sufficient for review.  The Commission regrets that the alterations to the retaining wall were completed prior to review or permit.  File new submission at DCRA with construction drawings, including site plan, detailed and dimensioned drawings and landscape plan, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23283,,
OG 15-264,/records-research/project-search/og-15-264-0,HPA 15-475,"1039 31st Street, NW
United States",Commercial,"Alterations, blade sign - Existing alterations without review - Chez Billy Sud",Permit,"Submitted materials are not sufficient for review.  The Commission regrets that the blade sign, the replacement window, and the roof vent were installed prior to review or permit.  File new submission at DCRA with construction drawings for all alterations, including detailed and dimensioned drawings, architectural details, and cut-sheets for the replacement window, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23283,"('/records-research/project-search/og-15-202', 'OG 15-202')",
OG 15-194,/records-research/project-search/og-15-194-0,HPA 15-354,"3212 Volta Place
United States",Residence,Fence,Permit,"Submitted material is not sufficient for review.  File new submission at DCRA with accurate site plan and drawings, including dimensions and details for the fence, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23282,,
OG 15-195,/records-research/project-search/og-15-195-0,HPA 15-356,"1204 Eton Court, NW
United States",Commercial,Signs - Nazemi Bridal,Permit,"No objection to issuance of permit for proposed sign at entrance off M Street, NW and next to door at interior court as shown in supplemental drawings received 18 June 2015 which indicate a 12 inich x 6 inch sign reading “Nazemi Bridal”.  Attachments to be made through the mortar joints only.  Design for sign to be reconsidered at the time of any additional sign for a commercial establishment in interior court is proposed.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23282,,
OG 15-200,/records-research/project-search/og-15-200-0,HPA 15-377,"3416 N Street, NW
United States",Residence,Alterations,Permit,"Submitted material is not sufficient for review.  File new submission at DCRA with construction drawings for proposed alterations, including floor plans, detailed and dimensioned drawings, architectural details, product literature and cut-sheets, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23282,,
OG 15-202,/records-research/project-search/og-15-202-0,HPA 15-391,"1039 31st Street, NW
United States",Commercial,"Alterations, blade sign - Existing alterations without review - Chez Billy Sud",Permit,"Submitted material is not sufficient for review.  The Commission regrets that the blade sign and the replacement windows were installed prior to review or permit.  File new submission at DCRA with construction drawings for all completed alterations, including detailed and dimensioned drawings, architectural details, and cut-sheets for the replacement window, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23282,,
OG 15-203,/records-research/project-search/og-15-203-0,HPA 15-392,"2722 Olive Street, NW
United States",Residential,Replacement windows - Existing alterations without review,Permit,"Submitted material is not sufficient for review.  The Commission regrets that vinyl replacement windows, which are not appropriate to this building in particular or to the historic district in general, were installed prior to review or permit.  ",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23282,,
OG 15-205,/records-research/project-search/og-15-205-0,HPA 15-396,"1200 Potomac Street, NW
United States",Mixed-use,Alterations to front yard - Existing alterations without review,Permit,"The Commission regrets that the replacement fence and alterations to the planting bed along Prospect Street, which are not appropriate at this site, were completed prior to review or permit.  File new submission of detailed and dimensioned drawings, including landscape plan, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23282,,
OG 15-080,/records-research/project-search/og-15-080-0,HPA 15-124,"3251 Prospect Street, NW
United States",Mixed-use,"New doors, relocation of HVAC equipment to roof",Permit,"Submitted material is not sufficient for review.  File new submission at DCRA with construction drawings, including detailed and dimensioned drawings, architectural details, product literature and cut-sheets for HVAC equipment and doors with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23281,,
OG 15-151,/records-research/project-search/og-15-151-1,HPA 15-273,"1724 34th Street, NW
United States",Residence,"Two-story plus basement rear addition, demolition – Existing alterations without review",Permit,"Submitted material is not sufficient for review.  The Commission regrets that work at rear was initiated prior to review or permit.  File new permit application at DCRA with complete and accurate drawings, including dimensioned site plans, floor plans, elevations, architectural details, sections, and cut-sheets for windows/doors for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23281,,
OG 15-141,/records-research/project-search/og-15-141-0,HPA 15-263,"3122 M Street, NW
United States",Commercial,Replacement windows,Permit,"Submitted material is not sufficient for review.  See submission requirements for replacement window proposals on the Commission's web site at www.cfa.gov.  File new submission at DCRA of detailed and dimensioned drawings for the existing and proposed replacement windows, with permit application for review by the Commission.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23280,,
OG 15-151,/records-research/project-search/og-15-151-0,HPA 15-273,"1724 34th Street, NW
United States",Commercial,,Permit,Submitted material is not sufficient for review.  File new submission at DCRA of detailed and dimensioned drawings with permit application for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23280,,
OG 15-083,/records-research/project-search/og-15-083-0,HPA 15-142,"2804 N Street, NW
United States",Residence,Addition of exterior elevator,Permit,Returned without Action.  Permit application was withdrawn at the written request of applicant.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23278,,
OG 15-059,/records-research/project-search/og-15-059-0,HPA 15-087,"1405 31st Street, NW
United States",Residence,Replacement windows,Permit,Submitted material is not sufficient for review.  Note that The L'Enfant Trust holds an easement on this property.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23268,,
OG 15-060,/records-research/project-search/og-15-060-0,HPA 15-099,"1671 35th Street, NW
United States",Residence,Replacement metal fence,Permit,"Submitted material is not sufficient for review. File new submission at DCRA of complete and accurate drawings, including dimensioned site plan, elevation and details for gate and fence, with posts of approximately 1' square, with permit application for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23268,,
OG 14-279,/records-research/project-search/og-14-279-0,HPA 14-552,"1223 34th Street, NW
United States",Residence,Alterations,Permit,"Submitted material is not sufficient for review.  Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23310,,
OG 15-007,/records-research/project-search/og-15-007-0,HPA 15-017,"2715 Q Street, NW
United States",Dumbarton House,Replacement garage door,Permit,"Submitted material is not sufficient for review.  File new submission at DCRA of complete and accurate drawings, including architectural details, dimensions, wall sections and cut-sheets for new garage door, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23310,,
OG 15-045,/records-research/project-search/og-15-045-0,HPA 15-073,"2703 P Street, NW
United States",Residence,Replacement front stairs and fence,Permit,"Submitted material is not sufficient for review.  File new submission at DCRA of complete and accurate drawings, including dimensioned plans and elevations, architectural details, sections and product literature for new metal stairs and brick stairs, with permit application for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23310,,
OG 14-338,/records-research/project-search/og-14-338-0,HPA 14-671,"1438 Wisconsin Avenue, NW
United States",Commercial,Replacement windows,Permit,"Submitted material is not sufficient for review. File new submission at DCRA of complete and accurate drawings, including dimensions and details for a double-glazed all-wood replacement window with 1 3/4 inch wide true divided light wood muntins as previously approved, with permit application for review by the Commission. See OG 14-285.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/23308,,
