meeting_name_date,meeting_link,meeting_type,date
CFA Meeting — 20 October 2011,/records-research/record-cfa-actions/2011/10/cfa-meeting,CFA Meeting,2011-10-20
CFA Meeting — 15 September 2011,/records-research/record-cfa-actions/2011/09/cfa-meeting,CFA Meeting,2011-09-15
CFA Meeting — 21 July 2011,/records-research/record-cfa-actions/2011/07/cfa-meeting,CFA Meeting,2011-07-21
CFA Meeting — 16 June 2011,/records-research/record-cfa-actions/2011/06/cfa-meeting,CFA Meeting,2011-06-16
CFA Meeting — 19 May 2011,/records-research/record-cfa-actions/2011/05/cfa-meeting,CFA Meeting,2011-05-19
CFA Meeting — 21 April 2011,/records-research/record-cfa-actions/2011/04/cfa-meeting,CFA Meeting,2011-04-21
CFA Meeting — 17 March 2011,/records-research/record-cfa-actions/2011/03/cfa-meeting,CFA Meeting,2011-03-17
CFA Meeting — 17 February 2011,/records-research/record-cfa-actions/2011/02/cfa-meeting,CFA Meeting,2011-02-17
CFA Meeting — 20 January 2011,/records-research/record-cfa-actions/2011/01/cfa-meeting,CFA Meeting,2011-01-20
,,,
CFA Meeting — 18 November 2010,/records-research/record-cfa-actions/2010/11/cfa-meeting,CFA Meeting,2010-11-18
CFA Meeting — 21 October 2010,/records-research/record-cfa-actions/2010/10/cfa-meeting,CFA Meeting,2010-10-21
CFA Meeting — 16 September 2010,/records-research/record-cfa-actions/2010/09/cfa-meeting,CFA Meeting,2010-09-16
CFA Meeting — 15 July 2010,/records-research/record-cfa-actions/2010/07/cfa-meeting,CFA Meeting,2010-07-15
CFA Meeting — 17 June 2010,/records-research/record-cfa-actions/2010/06/cfa-meeting,CFA Meeting,2010-06-17
CFA Meeting — 20 May 2010,/records-research/record-cfa-actions/2010/05/cfa-meeting,CFA Meeting,2010-05-20
CFA Meeting — 15 April 2010,/records-research/record-cfa-actions/2010/04/cfa-meeting,CFA Meeting,2010-04-15
CFA Meeting — 18 March 2010,/records-research/record-cfa-actions/2010/03/cfa-meeting,CFA Meeting,2010-03-18
CFA Meeting — 18 February 2010,/records-research/record-cfa-actions/2010/02/cfa-meeting,CFA Meeting,2010-02-18
CFA Meeting — 21 January 2010,/records-research/record-cfa-actions/2010/01/cfa-meeting,CFA Meeting,2010-01-21
,,,
CFA Meeting — 19 November 2009,/records-research/record-cfa-actions/2009/11/cfa-meeting,CFA Meeting,2009-11-19
CFA Meeting — 15 October 2009,/records-research/record-cfa-actions/2009/10/cfa-meeting,CFA Meeting,2009-10-15
CFA Meeting — 17 September 2009,/records-research/record-cfa-actions/2009/09/cfa-meeting,CFA Meeting,2009-09-17
CFA Meeting — 16 July 2009,/records-research/record-cfa-actions/2009/07/cfa-meeting,CFA Meeting,2009-07-16
CFA Meeting — 18 June 2009,/records-research/record-cfa-actions/2009/06/cfa-meeting,CFA Meeting,2009-06-18
CFA Meeting — 21 May 2009,/records-research/record-cfa-actions/2009/05/cfa-meeting,CFA Meeting,2009-05-21
CFA Meeting — 16 April 2009,/records-research/record-cfa-actions/2009/04/cfa-meeting,CFA Meeting,2009-04-16
CFA Meeting — 19 March 2009,/records-research/record-cfa-actions/2009/03/cfa-meeting,CFA Meeting,2009-03-19
CFA Meeting — 19 February 2009,/records-research/record-cfa-actions/2009/02/cfa-meeting,CFA Meeting,2009-02-19
CFA Meeting — 22 January 2009,/records-research/record-cfa-actions/2009/01/cfa-meeting,CFA Meeting,2009-01-22
,,,
CFA Meeting — 20 November 2008,/records-research/record-cfa-actions/2008/11/cfa-meeting,CFA Meeting,2008-11-20
CFA Meeting — 16 October 2008,/records-research/record-cfa-actions/2008/10/cfa-meeting,CFA Meeting,2008-10-16
CFA Meeting — 18 September 2008,/records-research/record-cfa-actions/2008/09/cfa-meeting,CFA Meeting,2008-09-18
CFA Meeting — 17 July 2008,/records-research/record-cfa-actions/2008/07/cfa-meeting,CFA Meeting,2008-07-17
CFA Meeting — 19 June 2008,/records-research/record-cfa-actions/2008/06/cfa-meeting,CFA Meeting,2008-06-19
CFA Meeting — 15 May 2008,/records-research/record-cfa-actions/2008/05/cfa-meeting,CFA Meeting,2008-05-15
CFA Meeting — 17 April 2008,/records-research/record-cfa-actions/2008/04/cfa-meeting,CFA Meeting,2008-04-17
CFA Meeting — 20 March 2008,/records-research/record-cfa-actions/2008/03/cfa-meeting,CFA Meeting,2008-03-20
CFA Meeting — 21 February 2008,/records-research/record-cfa-actions/2008/02/cfa-meeting,CFA Meeting,2008-02-21
CFA Meeting — 17 January 2008,/records-research/record-cfa-actions/2008/01/cfa-meeting,CFA Meeting,2008-01-17
,,,
CFA Meeting — 15 November 2007,/records-research/record-cfa-actions/2007/11/cfa-meeting,CFA Meeting,2007-11-15
CFA Meeting — 18 October 2007,/records-research/record-cfa-actions/2007/10/cfa-meeting,CFA Meeting,2007-10-18
CFA Meeting — 20 September 2007,/records-research/record-cfa-actions/2007/09/cfa-meeting,CFA Meeting,2007-09-20
CFA Meeting — 19 July 2007,/records-research/record-cfa-actions/2007/07/cfa-meeting,CFA Meeting,2007-07-19
CFA Meeting — 21 June 2007,/records-research/record-cfa-actions/2007/06/cfa-meeting,CFA Meeting,2007-06-21
CFA Meeting — 17 May 2007,/records-research/record-cfa-actions/2007/05/cfa-meeting,CFA Meeting,2007-05-17
CFA Meeting — 19 April 2007,/records-research/record-cfa-actions/2007/04/cfa-meeting,CFA Meeting,2007-04-19
CFA Meeting — 15 March 2007,/records-research/record-cfa-actions/2007/03/cfa-meeting,CFA Meeting,2007-03-15
CFA Meeting — 15 February 2007,/records-research/record-cfa-actions/2007/02/cfa-meeting,CFA Meeting,2007-02-15
CFA Meeting — 18 January 2007,/records-research/record-cfa-actions/2007/01/cfa-meeting,CFA Meeting,2007-01-18
,,,
CFA Meeting — 16 November 2006,/records-research/record-cfa-actions/2006/11/cfa-meeting,CFA Meeting,2006-11-16
CFA Meeting — 19 October 2006,/records-research/record-cfa-actions/2006/10/cfa-meeting,CFA Meeting,2006-10-19
CFA Meeting — 21 September 2006,/records-research/record-cfa-actions/2006/09/cfa-meeting,CFA Meeting,2006-09-21
CFA Meeting — 27 July 2006,/records-research/record-cfa-actions/2006/07/cfa-meeting,CFA Meeting,2006-07-27
CFA Meeting — 15 June 2006,/records-research/record-cfa-actions/2006/06/cfa-meeting,CFA Meeting,2006-06-15
CFA Meeting — 18 May 2006,/records-research/record-cfa-actions/2006/05/cfa-meeting,CFA Meeting,2006-05-18
CFA Meeting — 20 April 2006,/records-research/record-cfa-actions/2006/04/cfa-meeting,CFA Meeting,2006-04-20
CFA Meeting — 16 March 2006,/records-research/record-cfa-actions/2006/03/cfa-meeting,CFA Meeting,2006-03-16
CFA Meeting — 16 February 2006,/records-research/record-cfa-actions/2006/02/cfa-meeting,CFA Meeting,2006-02-16
CFA Meeting — 19 January 2006,/records-research/record-cfa-actions/2006/01/cfa-meeting,CFA Meeting,2006-01-19
,,,
CFA Meeting — 17 November 2005,/records-research/record-cfa-actions/2005/11/cfa-meeting,CFA Meeting,2005-11-17
CFA Meeting — 20 October 2005,/records-research/record-cfa-actions/2005/10/cfa-meeting,CFA Meeting,2005-10-20
CFA Meeting — 15 September 2005,/records-research/record-cfa-actions/2005/09/cfa-meeting,CFA Meeting,2005-09-15
CFA Meeting — 21 July 2005,/records-research/record-cfa-actions/2005/07/cfa-meeting,CFA Meeting,2005-07-21
CFA Meeting — 16 June 2005,/records-research/record-cfa-actions/2005/06/cfa-meeting,CFA Meeting,2005-06-16
CFA Meeting — 19 May 2005,/records-research/record-cfa-actions/2005/05/cfa-meeting,CFA Meeting,2005-05-19
CFA Meeting — 21 April 2005,/records-research/record-cfa-actions/2005/04/cfa-meeting,CFA Meeting,2005-04-21
CFA Meeting — 17 March 2005,/records-research/record-cfa-actions/2005/03/cfa-meeting,CFA Meeting,2005-03-17
CFA Meeting — 17 February 2005,/records-research/record-cfa-actions/2005/02/cfa-meeting,CFA Meeting,2005-02-17
CFA Meeting — 25 January 2005,/records-research/record-cfa-actions/2005/01/cfa-meeting,CFA Meeting,2005-01-25
,,,
CFA Meeting — 18 November 2004,/records-research/record-cfa-actions/2004/11/cfa-meeting,CFA Meeting,2004-11-18
CFA Meeting — 21 October 2004,/records-research/record-cfa-actions/2004/10/cfa-meeting,CFA Meeting,2004-10-21
CFA Meeting — 21 September 2004,/records-research/record-cfa-actions/2004/09/cfa-meeting,CFA Meeting,2004-09-21
CFA Meeting — 15 July 2004,/records-research/record-cfa-actions/2004/07/cfa-meeting,CFA Meeting,2004-07-15
CFA Meeting — 17 June 2004,/records-research/record-cfa-actions/2004/06/cfa-meeting,CFA Meeting,2004-06-17
CFA Meeting — 20 May 2004,/records-research/record-cfa-actions/2004/05/cfa-meeting,CFA Meeting,2004-05-20
CFA Meeting — 15 April 2004,/records-research/record-cfa-actions/2004/04/cfa-meeting,CFA Meeting,2004-04-15
CFA Meeting — 18 March 2004,/records-research/record-cfa-actions/2004/03/cfa-meeting,CFA Meeting,2004-03-18
CFA Meeting — 19 February 2004,/records-research/record-cfa-actions/2004/02/cfa-meeting,CFA Meeting,2004-02-19
CFA Meeting — 15 January 2004,/records-research/record-cfa-actions/2004/01/cfa-meeting,CFA Meeting,2004-01-15
,,,
CFA Meeting — 20 November 2003,/records-research/record-cfa-actions/2003/11/cfa-meeting,CFA Meeting,2003-11-20
CFA Meeting — 16 October 2003,/records-research/record-cfa-actions/2003/10/cfa-meeting,CFA Meeting,2003-10-16
CFA Meeting — 18 September 2003,/records-research/record-cfa-actions/2003/09/cfa-meeting,CFA Meeting,2003-09-18
CFA Meeting — 17 July 2003,/records-research/record-cfa-actions/2003/07/cfa-meeting,CFA Meeting,2003-07-17
CFA Meeting — 19 June 2003,/records-research/record-cfa-actions/2003/06/cfa-meeting,CFA Meeting,2003-06-19
CFA Meeting — 15 May 2003,/records-research/record-cfa-actions/2003/05/cfa-meeting,CFA Meeting,2003-05-15
CFA Meeting — 22 April 2003,/records-research/record-cfa-actions/2003/04/cfa-meeting,CFA Meeting,2003-04-22
CFA Meeting — 20 March 2003,/records-research/record-cfa-actions/2003/03/cfa-meeting,CFA Meeting,2003-03-20
CFA Meeting — 20 February 2003,/records-research/record-cfa-actions/2003/02/cfa-meeting,CFA Meeting,2003-02-20
CFA Meeting — 16 January 2003,/records-research/record-cfa-actions/2003/01/cfa-meeting,CFA Meeting,2003-01-16
,,,
CFA Meeting — 21 November 2002,/records-research/record-cfa-actions/2002/11/cfa-meeting,CFA Meeting,2002-11-21
CFA Meeting — 17 October 2002,/records-research/record-cfa-actions/2002/10/cfa-meeting,CFA Meeting,2002-10-17
